brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
52623,ERYTHROPOIETIN(EPOETIN) PARENTERAL ) INJECTION, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي با سهم سازمان 90 درصد  <br>يا  داروهاي تخصصي بيماران خاص در صندوق دياليز صفاقي   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي<br> يا  داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي<br> يا  داروهاي تخصصي بيماران خاص در صندوق دياليزي   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي با سهم سازمان 100 درصد ,INJ,2000iU/0.5mL(4000iU/mL,418082,"         566,582
         583,082","100
97.17", , ,165000,583082,"100%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52623,
51957,ERYTHROPOIETIN(EPOETIN) PARENTERAL INJECTION, پرونده اي بيمه سلامت  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي با سهم سازمان 90 درصد  <br>يا  در صندوق دياليزي   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي<br> يا  در صندوق پيوند کليه   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي<br> يا  در صندوق دياليز صفاقي   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي دياليز صفاقي با سهم سازمان 100 درصد ,INJ,10000 [iU]/1mL 0.4mL,766182,"       1,063,182
       1,096,182","100
96.989", , ,330000,1096182,"100%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,51957,
52246,ERYTHROPOIETIN(EPOETIN) PARENTERALINJECTION, داروهاي تخصصي بيماران خاص در صندوق دياليز صفاقي   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي<br> يا  داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي<br> يا  داروهاي تخصصي بيماران خاص در صندوق دياليزي   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي با سهم سازمان 100 درصد  <br>يا  پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص  نفرولوژي و راديوتراپي و بيماريهاي خون وانكولوژي و بيماريهاي داخلي با سهم سازمان 90 درصد ,INJ,2000 [iU]/0.3mL,418082,"         566,582
         583,082","100
97.17", , ,165000,583082,"100%
90%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52246,
50695,ESTRADIOL HEMIHYDRATE / LEVONORGESTREL PATCH TRANSDERMAL,   تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان برابر تبصره 17 قانون بودجه در راستاي باروري با سهم سازمان 90 درصد ,,1.5 mg/0.525 mg/15cm2,,0,90%, ,90%, , ,90%,"مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري",,,,50695,
52294,"ETANERCEPT INJECTION, SOLUTIONINJECTION", پرونده اي و توليد داخل   تجويز توسط پزشك متخصص و پزشك فوق تخصص متخصص ايمونولوژي و آلرژي و روماتولوژي و بيماريهاي كودكان و بيماريهاي داخلي اسپونديليت آنكيلوزان و سرونكاتيواسپونديلو آرتروپاتي همراه با انتزريت و داكتيليت / اسپونديليت آنكيلوزان و سرونكاتيواسپونديلو آرتروپاتي همراه با درگيري مفاصل / پسوريازيس و ارتريت پسورياتيك با سهم سازمان 79.06 درصد  <br>يا  پرونده اي و توليد داخل   تجويز توسط پزشك فوق تخصص متخصص ايمونولوژي و آلرژي و روماتولوژي و بيماريهاي كودكان و بيماريهاي داخلي آرتريت روماتوييد با سهم سازمان 70.57 درصد ,INJ,50 mg/1ml/0.5mL,1291000,"       3,247,200
       3,482,543","79.921
85.713", , ,2772000,4063000,"70.57%
79.06%","داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67364,52294,
52620,ETHOSUXIMIDE SYRUP ORAL 250 mg/5mL 200MILLILITER,,SYRUP,250 mg/5mL 200MILLILITER,,0,70%, , , , ,70%,,,,,52620,
50701,EVOLOCUMAB INJECTION PARENTERAL 140 mg/1mL 1MILLILITER, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص و پزشك فوق تخصص بيماريهاي متابوليسم و غدد اطفال و  نفرولوژي و مغز واعصاب و بيماريهاي داخلي و بيماريهاي قلب و عروق و بيماريهاي غدد درون ريز و متابوليسم با سهم سازمان 0 درصد ,INJ,140 mg/1mL 1MILLILITER,48553000,48553000,79.022,90%, ,12889000,61442000,0%,داروهاي غير بيمه اي مشمول ارز,,,,50701,
52859,"FAMOTIDINE INJECTION, SOLUTION PARENTERAL 10 mg/1mL 2MILLILITER",,INJ,10 mg/1mL 2MILLILITER,,47880,70%, , ,68400,68400,70%,"مددجويان کميته امداد
,بهزيستي",,,,52859,
52624,FILGRASTIM INJECTION PARENTERAL, پرونده اي   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,600 ug/1mL 0.25ML,124727,754727,91.512, , ,700000,824727,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52624,
50330,FILGRASTIM(GCSF) INJECTION, پرونده اي   تجويز توسط پزشك متخصص<br> يا  پرونده اي   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,600MCG/1ML 0.2ML INJ,,201636,90%, , ,224040,224040,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67399,50330,
52342,FLUDARABINE PHOSPHATE SOLUTIONPARENTERAL, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,50mg(25 mg/1mL 2ML,3621000,6713130,95.131,10%, ,3435700,7056700,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52342,
53063,FLUOXETINE (AS HYDROCHLORIDE),,E.C.TAB,10 mg,578,4555,72.769, , ,5682,6260,70%,داروهاي بيمه اي مشمول ارز,,,,53063,
53064,FLUOXETINE (AS HYDROCHLORIDE) TABLET ORAL,,EC  TAB,20 mg,1155,6331,74.052, , ,7395,8550,70%,داروهاي بيمه اي مشمول ارز,,,,53064,
50195,FOLITROPIN  AMP INJECTION,   تجويز توسط پزشك فوق تخصص بيماريهاي غدد درون ريز و متابوليسم /تاييد در داروخانه<br> يا    تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري صرفا يراي خدمات باروري,INJ,(75IU/0.5ML) 150IU,,288750,70%, ,"
90%",412500,412500,70%,"مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67421,50195,
50821,FOLITROPIN BETA  INJECTION,   تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري /تاييد در داروخانه <br>يا    تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري صرفا در  خدمات باروري با سهم سازمان 90 درصد ,INJ SOL,300IU (833IU/ML 0.36ML),,"       1,491,000
       1,917,000","70%
90%", ,"
90%",2130000,2130000,"70%
90%","مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67422,50821,
50823,FOLITROPIN BETA  SOL,   تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري /تاييد در داروخانه <br>يا    تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري صرفا در خدمات باروري با سهم سازمان 90 درصد ,INJ,900IU (833IU/ML 1.08 ML),11483700,"      46,814,590
      56,909,130","75.56
91.853", ,"
90%",50472700,61956400,"70%
90%","مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67424,50823,
50345,"FOLLITROPIN ALFA / LUTROPIN ALFA INJECTION, POWDER, FOR SOLUTION PARENTERAL",   تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري صرفا براي خدمات باروري با سهم سازمان 90 درصد ,INJ,150 [iU]/75 [iU],8058000,9577200,98.268, ,90%,1688000,9746000,90%,"مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,نياز به کد اصالت دارو",,,,50345,
50822,"FOLLITROPIN BETA INJECTION, SOLUTION PARENTERAL 833 [iU]/1mL 0.72MILLILITER", بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري برابر تبصره 17 قانون بودجه در راستاي باروري با سهم سازمان 90 درصد ,,833 [iU]/1mL 0.72MILLILITER,7655838,37589083,91.871, ,90%,33259162,40915000,90%,"مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,نياز به کد اصالت دارو",,,,50822,
52412,FORMOTEROL FUMARATE RESPIRATORY,   تجويز توسط پزشك متخصص,SPRAY,12 ug/1{dose} 120 {Puff} SPRAY,4087000,4773000,94.197, , ,980000,5067000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52412,
52433,FUROSEMIDE, بيمارستاني,INJ,10 mg/1mL 25,,49000,70%, , ,70000,70000,70%,"مددجويان کميته امداد
,بهزيستي",,,,52433,
51925,"FUSIDIC ACID 2 %, 15 g TOPICAL CREAM",   تجويز توسط پزشك متخصص با سهم سازمان 0 درصد ,,"2 %, 15 g",159670,159670,38.767, , ,252200,411870,0%,"داروهاي غير بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,51925,
51982,GADOPENTETATE DIMEGLUMINE INJECTION PARENTERAL,,INJ,469 mg/1mL 20 mL,,504653,70%, , ,720933,720933,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,51982,
52335,"GEMCITABINE HCL , SOLUTION, CONCENTRATE", پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,INJ,10 mg/1mL 100 mL,2239672,4039672,95.282,5%, ,2000000,4239672,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52335,
52336,"GEMCITABINE HCL , SOLUTION, CONCENTRATE", پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,INJ,100 mg/1mL 2mL,1046500,1628260,96.181,5%, ,646400,1692900,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52336,
52338,"GEMCITABINE HCL , SOLUTION, CONCENTRATE INJECTION", پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,INJ,100 mg/1mL 10mL,2407015,4207015,95.461,5%, ,2000000,4407015,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52338,
50295,"GEMCITABINE INJECTION,SOLUTION,CONCENTRATE", پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي با سهم سازمان 90 درصد ,INJ,38mg/1mL 26.3mL,2239672,4039672,95.282,5%, ,2000000,4239672,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,66743,50295,
50294,"GEMCITABINE INJECTION,SOLUTION,CONCENTRATE", پرونده اي   تجويز توسط پزشك متخصص بيماريهاي خون وانكولوژي و راديوتراپي با سهم سازمان 90 درصد ,INJ,38mg/1mL 5.26mL,447974,946574,94.47, , ,554000,1001974,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,66740,50294,
19418,GLICLAZIDE SRTABLET,,TAB,60MG,1902,10859,73.881, , ,12797,14699,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,19418,
610,GRANISETRON HCL  INJECTION,   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,1MG/1ML 3ML VIAL 3MG/3ML,55200,153030,93.367, , ,108700,163900,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,فهرست يارانه اي وزارت بهداشت",,,61648,,
51851,HEPARIN SODIUM INJECTION PARENTERAL,,INJ,5000 [iU]/1mL 5MILLILITER,,81130,70%, , ,115900,115900,70%,"مددجويان کميته امداد
,بهزيستي",,,,51851,
50266,HYDROCHLOROTHIAZIDE TABLET ORAL,,TAB,12.5 mg,650,1413,81.206, , ,1090,1740,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,50266,
16582,HYDROCHLOROTHIAZIDE TABLET ORAL 25 mg,,TAB,25 mg,361,1788,74.512, , ,2039,2400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,16582,
51899,HYDROXOCOBALAMIN INJECTION PARENTERAL 5 mg/1mL 2MILLILITER, بيمارستاني<br> يا  بيمارستاني با سهم سازمان 0 درصد ,INJ,5 mg/1mL 2MILLILITER,652800,652800,50.722,70%, ,634200,1287000,0%,"داروهاي غير بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,51899,
51983,IDARUBICIN HYDROCHLORIDE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,1 mg/1mL 5ML,3532300,11259070,92.915,5%, ,8585300,12117600,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67489,51983,
51984,IDARUBICIN HYDROCHLORIDE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,1 mg/1mL 10ML INJECTION,7088400,19099080,93.468,5%, ,13345200,20433600,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67487,51984,
51136,"IFOSFAMIDE INJECTION, SOLUTION PARENTERAL", پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص با سهم سازمان 90 درصد ,INJ,40mg/1mL 25MILLIL,4497000,5294400,98.354, , ,886000,5383000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67496,51136,
51979,IMATINIB CAPSULE ORAL, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,CAP,400 mg,187947,367947,94.844, , ,200000,387947,90%,"مددجويان کميته امداد
,بهزيستي",,,,51979,
23155,IMATINIB TABLET ORAL, پرونده اي   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,TAB,400 mg,172363,352363,94.628,5%, ,200000,372363,90%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,23155,
17773,IMMUNE GLOBULIN INJECTION PARENTERAL, پرونده اي   تجويز توسط پزشك فوق تخصص متخصص ايمونولوژي و آلرژي و روماتولوژي و بيماريهاي كودكان و بيماريهاي خون وانكولوژي و بيماريهاي داخلي و بيماريهاي پوست و بيماريهاي گوارشي<br> يا  پرونده اي   تجويز توسط پزشك متخصص جراحي عمومي و  بيماريهاي عفوني کودکان و بيماريهاي كودكان و بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري و مغز واعصاب و بيماريهاي داخلي و بيماريهاي پوست و بيماريهاي قلب و عروق با سهم سازمان 90 درصد  <br>يا  پرونده اي   تجويز توسط پزشك متخصص جراحي عمومي و  بيماريهاي عفوني کودکان و بيماريهاي كودكان و بيماريهاي زنان و زايمان و بيماريهاي كليه و مجاري ادراري و مغز واعصاب و بيماريهاي داخلي و بيماريهاي قلب و عروق پيوند كليه با سهم سازمان 100 درصد ,INJ,100 mg/1mL 50MILLILITER,32076000,"      42,586,200
      43,754,000","100
97.33", , ,11678000,43754000,"100%
90%","مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,17773,
52695,"INFLUENZA VACCINE, INACTIVATED, TETRAVALENT INJECTION PARENTERAL 1 {dose}", كيستيك فيبروزيس     ( Cystic Fibrosis) با سهم سازمان 0 درصد ,INJ,,,0,0%,70%, , , ,0%,"داروهاي غير بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,52695,
5966,"INFLUENZA VACCINE, INACTIVATED, TRIVALENT INJECTION PARENTERAL", با سهم سازمان 0 درصد ,INJ,1 dose,,0,0%,70%, , , ,0%,بيماران صعب العلاج,,,,,
52206,INSULIN BIPHASIC LISPRO, پرونده اي بيمه سلامت (((تعهد بيمه پايه به مدت 2سال به شرط عدم افزايش قيمت دارو به مدت 2سال))) با سهم سازمان 90 درصد ,INJ,100 [iU]/1mL 3MILLILITER,,265500,90%, , ,295000,295000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,52206,
52207,INSULIN BIPHASIC LISPRO, پرونده اي بيمه سلامت (((تعهد بيمه پايه به مدت 2سال به شرط عدم افزايش قيمت دارو به مدت 2سال))) با سهم سازمان 90 درصد ,INJ,50/50 PARENTER 100[iU]/1m 3ML,,265500,90%,5%, ,295000,295000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,52207,
51410,INSULIN LISPRO, پرونده اي بيمه سلامت (((تعهد بيمه پايه به مدت 2سال به شرط عدم افزايش قيمت دارو به مدت 2سال))) با سهم سازمان 90 درصد ,INJ,"100 [iU]/1 mL, 3 mL PARENTERAL",,265500,90%, , ,295000,295000,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,51410,
52303,"INTERFERON BETA-1B POWDER, FOR SOLUTION PARENTERAL", داروهاي تخصصي بيماران خاص در صندوق ام اس   تجويز توسط پزشك متخصص / تاييد در داروخانه / با سهم سازمان 95 درصد ,INJ,250 ug,,714400,95%, , ,752000,752000,95%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,52303,
13413,IOPAMIDOL INJECTION PARENTERAL,,INJ,370 mg/1mL 20 mL,,168000,70%, , ,240000,240000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,13413,
50390,IPRATROPIUM BROMIDE / SALBUTAMOL (AS SULFATE) SOLUTION RESPIRATORY 200 ug/1 mg/1mL 2.5MILLILITER,,SOLUTION,200 ug/1 mg/1mL 2.5MILLILITER,,0,70%, , , , ,70%,,,,,50390,
20298,IRINOTECAN HYDROCHLORIDE, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص راديوتراپي و بيماريهاي خون وانكولوژي با سهم سازمان 90 درصد ,INJ POWDER,40 mg,,0,90%, , , , ,90%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,20298,
10014,ISOSORBIDE MONONITRATE SR  CAP,,CAP,50MG,2167,12619,73.801, , ,14932,17099,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,10014,
23124,KETOROLAC TROMETAMOL INJECTION PARENTERAL, بيمارستاني و توليد داخل,INJ,15 mg/1mL,16400,43350,78.961, , ,38500,54900,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,23124,
13060,L-CARNITINE SOLUTION ORAL, پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و مغز واعصاب و بيماريهاي غدد درون ريز و متابوليسم در درمان چاقي در تعهد نمي باشد<br> يا  پرونده اي   تجويز توسط پزشك متخصص بيماريهاي كودكان و مغز واعصاب و بيماريهاي داخلي در درمان چاقي در تعهد نمي باشد,ORAL  SOL,100 mg/1mL 120MILLILITER,34530,336139,72.225, , ,430870,465400,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,13060,
52160,L-CARNITINE SOLUTION ORAL, پرونده اي   تجويز توسط پزشك متخصص بيماريهاي كودكان و مغز واعصاب و بيماريهاي داخلي دردرمان چاقي در تعهد نمي باشد<br> يا  پرونده اي   تجويز توسط پزشك فوق تخصص بيماريهاي كليه و مجاري ادراري و مغز واعصاب و بيماريهاي غدد درون ريز و متابوليسم دردرمان چاقي در تعهد نمي باشد,ORAL  SOL,100 mg/1mL 60MILLILITER,,14000,70%, , ,20000,20000,70%,"مددجويان کميته امداد
,بهزيستي",,,,52160,
52006,LABETALOL HYDROCHLORIDE INJECTION PARENTERAL, بيمارستاني درمانگاه يا اورژانس,INJ,5 mg/1mL 4 mL,14250,54150,76, , ,57000,71250,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,52006,
1565,"LACTULOSE POWDER, FOR SOLUTION ORAL",,POWDER  FOR  ORAL  SOL,10 g,,10421,70%, , ,14888,14888,70%,"مددجويان کميته امداد
,بهزيستي",,,,1565,
52217,LACTULOSE SYRUP ORAL,,SYRUP,10 g/15mL 300MILLILITER,482200,582860,93.108, , ,143800,626000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,52217,
11481,"LATANOPROST / TIMOLOL (AS MALEATE) SOLUTION, DROPS OPHTHALMIC 50 ug/5 mg/1mL 2.5MILLILITER",   تجويز توسط پزشك متخصص بيماريهاي چشم,SOLUTION,50 ug/5 mg/1mL 2.5MILLILITER,69498,141878,82.058, , ,103400,172898,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,11481,
51917,"LATANOPROST SOLUTION, DROPS OPHTHALMIC",   تجويز توسط پزشك متخصص بيماريهاي چشم,DROP  OPTH,50 ug/1mL 5 mL,294000,368200,92.05, , ,106000,400000,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,,51917,
50541,"LEUPRORELIN ACETATE INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL",   تجويز توسط پزشك متخصص بيماريهاي زنان و زايمان صرفا در درمان باروري---برابر تبصره 17 قانون بودجه در راستاي باروري با سهم سازمان 90 درصد ,INJ,45 mg,,12150000,90%, ,90%,13500000,13500000,90%,"مددجويان کميته امداد
,بهزيستي
,داروهاي ناباروري
,نياز به کد اصالت دارو",,,,50541,
52479,"LEVODOPA / CARBIDOPA TABLET, EXTENDED RELEASE ORAL",,TAB  EXTENDED  RELEASE,200 mg/50 mg,15733,21473,89.721, , ,8200,23933,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,52479,
7938,LEVOTHYROXINE SODIUM TABLET ORAL, توليد داخل,TAB,25 ug,,453,70%, , ,648,648,70%,"مددجويان کميته امداد
,بهزيستي",,,,7938,
9586,LEVOTHYROXINE SODIUM TABLET ORAL, توليد داخل,TAB,75 ug,,1360,70%, , ,1943,1943,70%,"مددجويان کميته امداد
,بهزيستي",,,,9586,
51869,LIDOCAINE / PRILOCAINE, با سهم سازمان 0 درصد ,CREAM,2.5 %/2.5 % 15 g,109300,109300,46.431, , ,126100,235400,0%,داروهاي بيمه اي مشمول ارز,,,,,
52766,LIDOCAINE HYDROCHLORIDE GEL TOPICAL 2 % 25GRAM, بيش از 5 سال  کمتر از 12 سال ,GEL,2 % 25GRAM,,31500,70%, , ,45000,45000,70%,مددجويان کميته امداد,,,,52766,
52913,"LIPID INFUSION 20% (3) INJECTION, EMULSION INTRAVENOUS 80 mg/100 mg/20 mg/1mL 250MILLILITER", با سهم سازمان 0 درصد ,INJ,20% (3) 80 mg/100 mg/20 mg/1mL 250 mL,1996000,1996000,44.493, , ,2490000,4486000,0%,"داروهاي غير بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,نياز به کد اصالت دارو",,,,52913,
52255,MACITENTAN ORAL ,, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص بيماريهاي قلب و عروق در درمان پرفشاري اوليه ريه با رعايت راهنماي طبابت باليني مورد تاييد وزارت بهداشت<br> يا  پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص بيماريهاي قلب و عروق در درمان پرفشاري اوليه ريه با رعايت راهنماي طبابت باليني مورد تاييد وزارت بهداشت با سهم سازمان 90 درصد ,TAB,10 mg,52724,75809,96.727,5%, ,25650,78374,1401/05/01,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",1402/02/09,,,52255
